State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Kalikiri,Tomato,Hybrid,FAQ,23/09/2025,2400,3000,2700
"Andhra Pradesh",Chittor,Madanapalli,Tomato,Local,FAQ,23/09/2025,2300,2900,2700
"Andhra Pradesh",Chittor,Palamaner,Cabbage,Cabbage,FAQ,23/09/2025,600,1000,800
"Andhra Pradesh",Cuddapah,Cuddapah,Turmeric,Finger,FAQ,23/09/2025,5112,10725,10725
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies",Byadgi,FAQ,23/09/2025,10000,15000,14500
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies","Red Top",FAQ,23/09/2025,10000,15000,14500
"Andhra Pradesh",Guntur,Tenali,Lemon,Lemon,FAQ,23/09/2025,2400,3100,2700
"Andhra Pradesh",Krishna,Tiruvuru,Rice,Fine,FAQ,23/09/2025,4300,4500,4400
"Andhra Pradesh","West Godavari",Chintalapudi,Lemon,Lemon,FAQ,23/09/2025,2000,2400,2200
Bihar,Bhojpur,Aarah,Potato,Jyoti,FAQ,23/09/2025,2000,2200,2100
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,23/09/2025,1200,1400,1300
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Bottle gourd","Bottle Gourd",FAQ,23/09/2025,1000,2000,1500
Goa,"North Goa",Mapusa,Apple,Apple,Medium,23/09/2025,10000,10000,10000
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,23/09/2025,4000,6000,5500
Gujarat,Ahmedabad,Ahmedabad,"French Beans (Frasbean)",Other,FAQ,23/09/2025,5000,8000,7000
Gujarat,Ahmedabad,Ahmedabad,"Peas Wet",Other,FAQ,23/09/2025,10000,12000,11500
Gujarat,Ahmedabad,Ahmedabad,Tinda,Other,FAQ,23/09/2025,3000,7000,3350
Gujarat,Amreli,Babra,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,23/09/2025,13000,19550,16275
Gujarat,Amreli,Bagasara,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",Non-FAQ,23/09/2025,4500,4575,4537
Gujarat,Amreli,Bagasara,"Bajra(Pearl Millet/Cumbu)",Other,Non-FAQ,23/09/2025,1750,1950,1850
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,23/09/2025,1650,2550,2000
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,23/09/2025,1450,2550,2000
Gujarat,Amreli,Damnagar,Ginger(Green),"Green Ginger",FAQ,23/09/2025,3450,4550,4200
Gujarat,Amreli,Rajula,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,23/09/2025,16255,16255,16255
Gujarat,Amreli,Rajula,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,23/09/2025,15000,15000,15000
Gujarat,Amreli,Rajula,Wheat,PISSI,FAQ,23/09/2025,2575,2860,2718
Gujarat,Amreli,Savarkundla,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,23/09/2025,1625,2000,1700
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Spinach,Spinach,FAQ,23/09/2025,2500,5000,3750
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Cauliflower,Other,FAQ,23/09/2025,4000,6000,5000
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Potato,Other,FAQ,23/09/2025,1200,1800,1600
Gujarat,Anand,Umreth,"Bajra(Pearl Millet/Cumbu)",Deshi,Non-FAQ,23/09/2025,2300,2400,2390
Gujarat,Banaskanth,Deesa,Rajgir,Other,FAQ,23/09/2025,5055,5700,5650
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Bitter gourd",Other,FAQ,23/09/2025,1000,1750,1375
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Bottle gourd",Other,FAQ,23/09/2025,2000,2750,2375
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Cabbage,Other,FAQ,23/09/2025,1500,1900,1700
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Cauliflower,Other,FAQ,23/09/2025,3500,4250,3875
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Green Chilli",Other,FAQ,23/09/2025,1000,1650,1325
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Guar,Other,FAQ,23/09/2025,3500,4750,4125
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Mousambi(Sweet Lime)",Other,Medium,23/09/2025,3000,4250,3625
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Papaya,Other,Medium,23/09/2025,2000,3300,2650
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Pineapple,Other,Medium,23/09/2025,4500,5150,4825
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Pomegranate,Other,Medium,23/09/2025,10000,12700,11350
Gujarat,Banaskanth,Dhanera,"Bajra(Pearl Millet/Cumbu)",Other,Non-FAQ,23/09/2025,2250,2300,2275
Gujarat,Banaskanth,Dhanera,Mustard,Mustard,FAQ,23/09/2025,6000,6385,6200
Gujarat,Banaskanth,Diyodar,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,23/09/2025,2250,2625,2490
Gujarat,Banaskanth,Diyodar,"Bajra(Pearl Millet/Cumbu)",Other,Non-FAQ,23/09/2025,2000,2230,2100
Gujarat,Banaskanth,Diyodar,Mustard,Mustard,FAQ,23/09/2025,6200,6300,6250
Gujarat,Banaskanth,Diyodar,Wheat,Other,FAQ,23/09/2025,2400,2600,2550
Gujarat,Banaskanth,Palanpur,"Castor Seed","Castor seed",FAQ,23/09/2025,6325,6365,6345
Gujarat,Banaskanth,Vadgam,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,23/09/2025,1750,2300,2300
Gujarat,Bharuch,Bharuch,"Bottle gourd",Other,FAQ,23/09/2025,1500,2000,1800
Gujarat,Bharuch,Bharuch,Brinjal,Other,FAQ,23/09/2025,1500,3000,2000
